ts,trade_id,token_id,outcome,buyer_address,seller_address,actor_address,side,price,size,notional
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0xb64c2730327aa1a1146055720efb125f86c4cdce,,0xb64c2730327aa1a1146055720efb125f86c4cdce,buy,0.98,102.0408,99.999984
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x026773a21d375d641982ee26f3f91da39cb74648,,0x026773a21d375d641982ee26f3f91da39cb74648,buy,0.98,1.14285,1.1199929999999998
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,,0x763397a9e0690d3c6c9f87fed80b6af1050f7dcf,0x763397a9e0690d3c6c9f87fed80b6af1050f7dcf,sell,0.96,5.88,5.6448
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x87a3ab54b2e6c1eda8752e68250ff0924fa9eaad,,0x87a3ab54b2e6c1eda8752e68250ff0924fa9eaad,buy,0.9699999995149995,20.618533,19.999977
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0xd0459d96d20e60404f929034f11b9c37f2d0a1ff,,0xd0459d96d20e60404f929034f11b9c37f2d0a1ff,buy,0.97,70.0,67.89999999999999
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0xd111ced402bac802f74606deca83bbf6a1eaaf32,,0xd111ced402bac802f74606deca83bbf6a1eaaf32,buy,0.97,100.0,97.0
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x632bcc088bb19da6c074489478021188743aafd3,,0x632bcc088bb19da6c074489478021188743aafd3,buy,0.97,1.0309,0.9999729999999999
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x61276aba49117fd9299707d5d573652949d5c977,,0x61276aba49117fd9299707d5d573652949d5c977,buy,0.97,70.0,67.89999999999999
2026-03-23 15:58:33+00:00,,70511961689427886849251125331075177577040674831404454735628437740418162211411,UP,0xa44249937cef98e2ba306107e09e18a9604cd722,,0xa44249937cef98e2ba306107e09e18a9604cd722,buy,0.03,27.77,0.8331
2026-03-23 15:58:33+00:00,,70511961689427886849251125331075177577040674831404454735628437740418162211411,UP,0x29e04122ea76a5328a724adcbb50588c54b22a03,,0x29e04122ea76a5328a724adcbb50588c54b22a03,buy,0.04,5.0,0.2
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x212041ab7acdea334d23c1614ae2503d97faa5a7,,0x212041ab7acdea334d23c1614ae2503d97faa5a7,buy,0.98,101.01,98.9898
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0xf00a425c656ecba92edea0f36fe97a577b47dc01,,0xf00a425c656ecba92edea0f36fe97a577b47dc01,buy,0.98,5.102,4.999960000000001
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x94e4af072fd35ab6a2824f1d98cec8a94d8320f4,,0x94e4af072fd35ab6a2824f1d98cec8a94d8320f4,buy,0.98,25.25,24.745
2026-03-23 15:58:33+00:00,,70511961689427886849251125331075177577040674831404454735628437740418162211411,UP,0xac6df77395095fd6a6f16e836ad845dd8cb0919a,,0xac6df77395095fd6a6f16e836ad845dd8cb0919a,buy,0.03,50.0,1.5
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x8d34bf46951e5f5c282940e34403e3966e012f2b,,0x8d34bf46951e5f5c282940e34403e3966e012f2b,buy,0.98,15.15,14.847
2026-03-23 15:58:33+00:00,,70511961689427886849251125331075177577040674831404454735628437740418162211411,UP,0xbc5de2eb249e5b257d9358a1ce8fcf243221bcaf,,0xbc5de2eb249e5b257d9358a1ce8fcf243221bcaf,buy,0.029999971199998848,33.333332,0.999999
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0xcddab011ae54a4a66278d6a8396fa771e825af89,,0xcddab011ae54a4a66278d6a8396fa771e825af89,buy,0.98,50.0,49.0
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,,0x71b5d8b485b0c403e1917598341b583a3b4624bd,0x71b5d8b485b0c403e1917598341b583a3b4624bd,sell,0.97,1.27,1.2319
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x1ef5bc369ae4a6ef98bcd443f2281c96ef2c9293,,0x1ef5bc369ae4a6ef98bcd443f2281c96ef2c9293,buy,0.98,10.19385,9.989972999999999
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x20d000b94e37fa771cb7b4974cb2ecd00e8ebba0,,0x20d000b94e37fa771cb7b4974cb2ecd00e8ebba0,buy,0.98,5.102,4.999960000000001
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x5995599dd20758ed71258168049f936ebc5cb0a4,,0x5995599dd20758ed71258168049f936ebc5cb0a4,buy,0.98,5.102,4.999960000000001
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0xaa36bad84a150757e7c281e1b0126e58dfb1bd96,,0xaa36bad84a150757e7c281e1b0126e58dfb1bd96,buy,0.98,5.09,4.9882
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x4d766f62e3d1a97243eaa244ea72dcfeac7390a0,,0x4d766f62e3d1a97243eaa244ea72dcfeac7390a0,buy,0.98,91.8265,89.98997
2026-03-23 15:58:33+00:00,,70511961689427886849251125331075177577040674831404454735628437740418162211411,UP,0x4fbc8521bef9b89016415104552d5930b225ccc1,,0x4fbc8521bef9b89016415104552d5930b225ccc1,buy,0.029999994299999944,166.666665,4.999999
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0xb5aa4d80e92a70d7ab83d0ff42e1de706b40e920,,0xb5aa4d80e92a70d7ab83d0ff42e1de706b40e920,buy,0.98,1.0204,0.999992
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x429a28ed1149c52b6d5451031eb8de6c2f867745,,0x429a28ed1149c52b6d5451031eb8de6c2f867745,buy,0.98,86.72445,84.98996100000001
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x82f723b5fed8f7df8c8a8a2f5ee064056e957c3b,,0x82f723b5fed8f7df8c8a8a2f5ee064056e957c3b,buy,0.98,1.0204,0.999992
2026-03-23 15:58:33+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0xe0363826c4d9e7d354e2666561c4cb71f836941a,,0xe0363826c4d9e7d354e2666561c4cb71f836941a,buy,0.98,2.24485,2.199953
2026-03-23 15:58:35+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x96d5e10e48e9cce26a1b9fe446fb4c5ea7f6bfa0,,0x96d5e10e48e9cce26a1b9fe446fb4c5ea7f6bfa0,buy,0.98,3.0612,2.9999759999999998
2026-03-23 15:58:35+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0x2f5d04172c198d9e4bfd0b028bfbf9769510ecf5,,0x2f5d04172c198d9e4bfd0b028bfbf9769510ecf5,buy,0.99,6.0606,5.999994
2026-03-23 15:58:35+00:00,,93818154076666686896621053885958896092305047141716153924461852974244812585066,DOWN,0xcddab011ae54a4a66278d6a8396fa771e825af89,,0xcddab011ae54a4a66278d6a8396fa771e825af89,buy,0.99,50.0,49.5
