bucket,outcome,volume_tokens,volume_notional_usdc
2026-03-23 16:24:35+00:00,DOWN,1469.0,29.03
2026-03-23 16:24:35+00:00,UP,6990.7768,6919.638132
2026-03-23 16:24:40+00:00,DOWN,8026.059995,99.626197
2026-03-23 16:24:40+00:00,UP,5456.644354,5395.4809
2026-03-23 16:24:45+00:00,DOWN,2623.88833,38.297298000000005
2026-03-23 16:24:45+00:00,UP,445.0315,439.613585
2026-03-23 16:24:50+00:00,DOWN,1035.0,10.350000000000001
2026-03-23 16:24:50+00:00,UP,859.81,851.2119
2026-03-23 16:24:55+00:00,DOWN,2875.0,28.75
2026-03-23 16:24:55+00:00,UP,514.14,508.9986
2026-03-23 16:25:00+00:00,UP,57.730000000000004,57.152699999999996
2026-03-23 16:25:00+00:00,DOWN,1321.38,13.2138
2026-03-23 16:25:05+00:00,DOWN,720.0,7.2
2026-03-23 16:25:05+00:00,UP,40.63,40.2237
2026-03-23 16:25:10+00:00,DOWN,200.0,2.0
2026-03-23 16:25:10+00:00,UP,494.62,489.6738
2026-03-23 16:25:15+00:00,DOWN,45.6,0.456
2026-03-23 16:25:15+00:00,UP,497.11,492.1389
2026-03-23 16:25:20+00:00,DOWN,100.0,1.0
2026-03-23 16:25:20+00:00,UP,63.730000000000004,63.0927
2026-03-23 16:25:25+00:00,DOWN,1100.0,11.0
2026-03-23 16:25:25+00:00,UP,557.88,552.3012
2026-03-23 16:25:30+00:00,UP,41.01,40.5999
2026-03-23 16:25:35+00:00,UP,440.98,436.5702
2026-03-23 16:25:35+00:00,DOWN,288.0,2.88
2026-03-23 16:25:40+00:00,DOWN,14.0,0.14
2026-03-23 16:25:40+00:00,UP,3.71,3.6729
2026-03-23 16:25:45+00:00,DOWN,53.25,0.46950000000000003
2026-03-23 16:25:45+00:00,UP,171.41,171.19359
2026-03-23 16:25:50+00:00,UP,103.69,103.58631
2026-03-23 16:25:55+00:00,UP,639.48,638.84052
2026-03-23 16:26:00+00:00,UP,7.95,7.94205
2026-03-23 16:26:05+00:00,UP,94.91999999999999,94.82508
2026-03-23 16:26:10+00:00,UP,14.99,14.975010000000001
2026-03-23 16:26:15+00:00,UP,214.41000000000003,214.19559
2026-03-23 16:26:15+00:00,DOWN,1000.0,1.0
2026-03-23 16:26:20+00:00,UP,27.810000000000002,27.78219
2026-03-23 16:26:25+00:00,DOWN,1110.0,1.11
2026-03-23 16:26:25+00:00,UP,14.32,14.30568
2026-03-23 16:26:30+00:00,UP,30.44,30.40956
2026-03-23 16:26:40+00:00,UP,8.08,8.07192
2026-03-23 16:26:45+00:00,UP,0.2,0.1998
2026-03-23 16:26:50+00:00,UP,3.13,3.12687
2026-03-23 16:26:55+00:00,DOWN,1000.0,1.0
2026-03-23 16:26:55+00:00,UP,8.94,8.931059999999999
2026-03-23 16:27:00+00:00,UP,15.2,15.1848
2026-03-23 16:27:05+00:00,UP,17.87,17.85213
