snapshot_ts,outcome,price_bucket,bid_traded_size,ask_traded_size,total_traded_size,net_aggressor_buy
2026-03-23 16:24:35+00:00,DOWN,0.01,35.0,0.0,35.0,-35.0
2026-03-23 16:24:35+00:00,DOWN,0.02,0.0,1434.0,1434.0,1434.0
2026-03-23 16:24:35+00:00,UP,0.98,123.08999999999999,0.0,123.08999999999999,-123.08999999999999
2026-03-23 16:24:35+00:00,UP,0.99,0.0,6867.6868,6867.6868,6867.6868
2026-03-23 16:24:40+00:00,DOWN,0.01,201.10999999999999,6189.92,6391.03,5988.81
2026-03-23 16:24:40+00:00,DOWN,0.02,1.82,1411.21,1413.03,1409.39
2026-03-23 16:24:40+00:00,DOWN,0.03,0.0,221.999995,221.999995,221.999995
2026-03-23 16:24:40+00:00,UP,0.97,11.89,0.0,11.89,-11.89
2026-03-23 16:24:40+00:00,UP,0.98,205.76999999999998,167.65355,373.42355,-38.116449999999986
2026-03-23 16:24:40+00:00,UP,0.99,101.24,4970.0908039999995,5071.330803999999,4868.850804
2026-03-23 16:24:45+00:00,DOWN,0.01,3.2,1649.77,1652.97,1646.57
2026-03-23 16:24:45+00:00,DOWN,0.02,0.0,934.251665,934.251665,934.251665
2026-03-23 16:24:45+00:00,DOWN,0.03,0.0,36.666665,36.666665,36.666665
2026-03-23 16:24:45+00:00,UP,0.97,0.01,0.0,0.01,-0.01
2026-03-23 16:24:45+00:00,UP,0.98,89.78,5.101,94.881,-84.679
2026-03-23 16:24:45+00:00,UP,0.99,87.45,262.6905,350.1405,175.2405
2026-03-23 16:24:50+00:00,DOWN,0.01,0.0,1035.0,1035.0,1035.0
2026-03-23 16:24:50+00:00,UP,0.99,859.81,0.0,859.81,-859.81
2026-03-23 16:24:55+00:00,DOWN,0.01,0.0,2875.0,2875.0,2875.0
2026-03-23 16:24:55+00:00,UP,0.99,514.14,0.0,514.14,-514.14
2026-03-23 16:25:00+00:00,DOWN,0.01,0.0,1321.38,1321.38,1321.38
2026-03-23 16:25:00+00:00,UP,0.99,57.730000000000004,0.0,57.730000000000004,-57.730000000000004
2026-03-23 16:25:05+00:00,DOWN,0.01,0.0,720.0,720.0,720.0
2026-03-23 16:25:05+00:00,UP,0.99,40.63,0.0,40.63,-40.63
2026-03-23 16:25:10+00:00,DOWN,0.01,0.0,200.0,200.0,200.0
2026-03-23 16:25:10+00:00,UP,0.99,494.62,0.0,494.62,-494.62
2026-03-23 16:25:15+00:00,DOWN,0.01,0.0,45.6,45.6,45.6
2026-03-23 16:25:15+00:00,UP,0.99,497.11,0.0,497.11,-497.11
2026-03-23 16:25:20+00:00,DOWN,0.01,0.0,100.0,100.0,100.0
2026-03-23 16:25:20+00:00,UP,0.99,63.730000000000004,0.0,63.730000000000004,-63.730000000000004
2026-03-23 16:25:25+00:00,DOWN,0.01,0.0,1100.0,1100.0,1100.0
2026-03-23 16:25:25+00:00,UP,0.99,557.88,0.0,557.88,-557.88
2026-03-23 16:25:30+00:00,UP,0.99,41.01,0.0,41.01,-41.01
2026-03-23 16:25:35+00:00,DOWN,0.01,0.0,288.0,288.0,288.0
2026-03-23 16:25:35+00:00,UP,0.99,440.98,0.0,440.98,-440.98
2026-03-23 16:25:40+00:00,DOWN,0.01,0.0,14.0,14.0,14.0
2026-03-23 16:25:40+00:00,UP,0.99,3.71,0.0,3.71,-3.71
2026-03-23 16:25:45+00:00,DOWN,0.0,0.0,7.0,7.0,7.0
2026-03-23 16:25:45+00:00,DOWN,0.01,0.0,46.25,46.25,46.25
2026-03-23 16:25:45+00:00,UP,0.99,5.0,0.0,5.0,-5.0
2026-03-23 16:25:45+00:00,UP,1.0,166.41,0.0,166.41,-166.41
2026-03-23 16:25:50+00:00,UP,1.0,103.69,0.0,103.69,-103.69
2026-03-23 16:25:55+00:00,UP,1.0,639.48,0.0,639.48,-639.48
2026-03-23 16:26:00+00:00,UP,1.0,7.95,0.0,7.95,-7.95
2026-03-23 16:26:05+00:00,UP,1.0,94.91999999999999,0.0,94.91999999999999,-94.91999999999999
2026-03-23 16:26:10+00:00,UP,1.0,14.99,0.0,14.99,-14.99
2026-03-23 16:26:15+00:00,DOWN,0.0,0.0,1000.0,1000.0,1000.0
2026-03-23 16:26:15+00:00,UP,1.0,214.41000000000003,0.0,214.41000000000003,-214.41000000000003
2026-03-23 16:26:20+00:00,UP,1.0,27.810000000000002,0.0,27.810000000000002,-27.810000000000002
2026-03-23 16:26:25+00:00,DOWN,0.0,0.0,1110.0,1110.0,1110.0
2026-03-23 16:26:25+00:00,UP,1.0,14.32,0.0,14.32,-14.32
2026-03-23 16:26:30+00:00,UP,1.0,30.44,0.0,30.44,-30.44
2026-03-23 16:26:40+00:00,UP,1.0,8.08,0.0,8.08,-8.08
2026-03-23 16:26:45+00:00,UP,1.0,0.2,0.0,0.2,-0.2
2026-03-23 16:26:50+00:00,UP,1.0,3.13,0.0,3.13,-3.13
2026-03-23 16:26:55+00:00,DOWN,0.0,0.0,1000.0,1000.0,1000.0
2026-03-23 16:26:55+00:00,UP,1.0,8.94,0.0,8.94,-8.94
2026-03-23 16:27:00+00:00,UP,1.0,15.2,0.0,15.2,-15.2
2026-03-23 16:27:05+00:00,UP,1.0,17.87,0.0,17.87,-17.87
