ts,trade_id,token_id,outcome,buyer_address,seller_address,side,price,size,notional
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,buy,0.9,42.3,38.07
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,buy,0.9099999997461115,157.549444,143.369994
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,buy,0.9,2.67,2.403
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,buy,0.8899999732999563,3.370781,2.9999949999999997
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,buy,0.889999999555,112.359545,99.999995
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,sell,0.88,200.0,176.0
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,buy,0.9,100.0,90.0
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,buy,0.8899999956457921,11.483145,10.219999
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,buy,0.09,10.99,0.9891
1970-01-01 00:00:01.774280387+00:00,,,UNKNOWN,,,buy,0.9,6.2,5.58
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,50.0,45.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9074983005502311,79.989125,72.589995
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.08,2.95,0.23600000000000002
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,42.0,37.800000000000004
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9199999802150329,2.021737,1.859998
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9399999864639996,53.191488,49.999998
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,38.86,35.3626
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9299999888399957,5.376342,4.999998000000001
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.09,50.0,4.5
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.922253424964305,90.246342,83.229998
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.08,15.9,1.272
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.929999999721,107.526871,99.99999
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.09,50.0,4.5
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,5.4945,4.999995
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9399999962399888,5.319133,4.999985
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,2.22222,1.9999980000000002
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.8955223877923814,111.66666,99.99999399999999
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.13625,50.0,6.812500000000001
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.89,52.86,47.0454
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.907406,50.0,45.3703
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9099999982862512,11.670322,10.619993000000001
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,50.0,45.5
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,1.0989,0.999999
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.1,70.0,7.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,44.44444,39.999996
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.1,68.88,6.888
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.93,6.0,5.58
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.15,19.8,2.97
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.94,2.12765,1.9999909999999999
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.1,15.65,1.5650000000000002
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.12,50.0,6.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9199999986608441,29.869562,27.479997
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.13315,28.0,3.7281999999999997
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.11,50.0,5.5
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.148654,50.0,7.4327000000000005
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.104446,50.0,5.2223
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.15,20.0,3.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.09,5.63,0.5066999999999999
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,1.11111,0.9999990000000001
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.89,50.0,44.5
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,5.1,4.59
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.87,37.08,32.2596
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.11,20.0,2.2
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9,6.2,5.58
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.92,1.02,0.9384
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.10380002254537256,88.71,9.208099999999998
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.12,25.0,3.0
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,2.1978,1.999998
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.91,38.23,34.7893
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9099999915740585,1.186811,1.079998
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.91,1.0989,0.999999
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.09,6.0,0.54
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,sell,0.9,3.53,3.177
1970-01-01 00:00:01.774280389+00:00,,,UNKNOWN,,,buy,0.9299999943636261,5.322571,4.949991
