ts,token_id,outcome,price
1970-01-01 00:00:01.774280387+00:00,,Up,0.8899999963821104
1970-01-01 00:00:01.774280387+00:00,,Up,0.92
1970-01-01 00:00:01.774280387+00:00,,Down,0.11
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Down,0.11
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Down,0.1
1970-01-01 00:00:01.774280387+00:00,,Up,0.93
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.92
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Down,0.06181829714114377
1970-01-01 00:00:01.774280387+00:00,,Up,0.92
1970-01-01 00:00:01.774280387+00:00,,Up,0.92
1970-01-01 00:00:01.774280387+00:00,,Up,0.91
1970-01-01 00:00:01.774280387+00:00,,Down,0.1
1970-01-01 00:00:01.774280387+00:00,,Up,0.91
1970-01-01 00:00:01.774280387+00:00,,Up,0.8750745133819952
1970-01-01 00:00:01.774280387+00:00,,Down,0.12
1970-01-01 00:00:01.774280387+00:00,,Up,0.88999995549998
1970-01-01 00:00:01.774280387+00:00,,Down,0.11
1970-01-01 00:00:01.774280387+00:00,,Up,0.889999985759986
1970-01-01 00:00:01.774280387+00:00,,Up,0.89
1970-01-01 00:00:01.774280387+00:00,,Up,0.88
1970-01-01 00:00:01.774280387+00:00,,Down,0.11
1970-01-01 00:00:01.774280387+00:00,,Up,0.9090273452010172
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9299999906998978
1970-01-01 00:00:01.774280387+00:00,,Up,0.9072727272727272
1970-01-01 00:00:01.774280387+00:00,,Up,0.89
1970-01-01 00:00:01.774280387+00:00,,Down,0.08
1970-01-01 00:00:01.774280387+00:00,,Up,0.91
1970-01-01 00:00:01.774280387+00:00,,Up,0.89
1970-01-01 00:00:01.774280387+00:00,,Up,0.89
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.89
1970-01-01 00:00:01.774280387+00:00,,Up,0.8899999814583273
1970-01-01 00:00:01.774280387+00:00,,Up,0.89
1970-01-01 00:00:01.774280387+00:00,,Up,0.8899999109995639
1970-01-01 00:00:01.774280387+00:00,,Up,0.95
1970-01-01 00:00:01.774280387+00:00,,Up,0.8899999959545436
1970-01-01 00:00:01.774280387+00:00,,Up,0.91
1970-01-01 00:00:01.774280387+00:00,,Up,0.8899999732999563
1970-01-01 00:00:01.774280387+00:00,,Up,0.89
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.9099999997461115
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.8899999732999563
1970-01-01 00:00:01.774280387+00:00,,Up,0.889999999555
1970-01-01 00:00:01.774280387+00:00,,Up,0.88
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280387+00:00,,Up,0.8899999956457921
1970-01-01 00:00:01.774280387+00:00,,Down,0.09
1970-01-01 00:00:01.774280387+00:00,,Up,0.9
1970-01-01 00:00:01.774280389+00:00,,Up,0.9
1970-01-01 00:00:01.774280389+00:00,,Up,0.9074983005502311
1970-01-01 00:00:01.774280389+00:00,,Down,0.08
1970-01-01 00:00:01.774280389+00:00,,Up,0.9
1970-01-01 00:00:01.774280389+00:00,,Up,0.9199999802150329
1970-01-01 00:00:01.774280389+00:00,,Up,0.9399999864639996
1970-01-01 00:00:01.774280389+00:00,,Up,0.91
1970-01-01 00:00:01.774280389+00:00,,Up,0.9299999888399957
1970-01-01 00:00:01.774280389+00:00,,Down,0.09
1970-01-01 00:00:01.774280389+00:00,,Up,0.922253424964305
1970-01-01 00:00:01.774280389+00:00,,Down,0.08
1970-01-01 00:00:01.774280389+00:00,,Up,0.929999999721
1970-01-01 00:00:01.774280389+00:00,,Down,0.09
1970-01-01 00:00:01.774280389+00:00,,Up,0.91
1970-01-01 00:00:01.774280389+00:00,,Up,0.9399999962399888
1970-01-01 00:00:01.774280389+00:00,,Up,0.9
1970-01-01 00:00:01.774280389+00:00,,Up,0.8955223877923814
1970-01-01 00:00:01.774280389+00:00,,Down,0.13625
1970-01-01 00:00:01.774280389+00:00,,Up,0.89
1970-01-01 00:00:01.774280389+00:00,,Up,0.907406
1970-01-01 00:00:01.774280389+00:00,,Up,0.9099999982862512
1970-01-01 00:00:01.774280389+00:00,,Up,0.91
1970-01-01 00:00:01.774280389+00:00,,Up,0.91
1970-01-01 00:00:01.774280389+00:00,,Down,0.1
1970-01-01 00:00:01.774280389+00:00,,Up,0.9
1970-01-01 00:00:01.774280389+00:00,,Down,0.1
1970-01-01 00:00:01.774280389+00:00,,Up,0.93
1970-01-01 00:00:01.774280389+00:00,,Down,0.15
1970-01-01 00:00:01.774280389+00:00,,Up,0.94
1970-01-01 00:00:01.774280389+00:00,,Down,0.1
1970-01-01 00:00:01.774280389+00:00,,Down,0.12
1970-01-01 00:00:01.774280389+00:00,,Up,0.9199999986608441
1970-01-01 00:00:01.774280389+00:00,,Down,0.13315
1970-01-01 00:00:01.774280389+00:00,,Down,0.11
1970-01-01 00:00:01.774280389+00:00,,Down,0.148654
1970-01-01 00:00:01.774280389+00:00,,Down,0.104446
1970-01-01 00:00:01.774280389+00:00,,Down,0.15
1970-01-01 00:00:01.774280389+00:00,,Down,0.09
1970-01-01 00:00:01.774280389+00:00,,Up,0.9
1970-01-01 00:00:01.774280389+00:00,,Up,0.89
1970-01-01 00:00:01.774280389+00:00,,Up,0.9
1970-01-01 00:00:01.774280389+00:00,,Up,0.87
1970-01-01 00:00:01.774280389+00:00,,Down,0.11
