bucket,outcome,volume_tokens,volume_notional_usdc
2026-03-26 16:50:40+00:00,NO,5000.0,4500.0
2026-03-26 16:50:50+00:00,YES,1500.0,150.0
2026-03-26 16:50:55+00:00,NO,3000.0,2700.0
2026-03-26 16:51:40+00:00,NO,574.0,522.34
2026-03-26 16:51:45+00:00,YES,750.0,75.0
2026-03-26 16:53:05+00:00,YES,20.0,2.0
2026-03-26 16:53:25+00:00,YES,500.0,50.0
2026-03-26 16:53:45+00:00,NO,2204.0,2005.64
2026-03-26 16:55:35+00:00,YES,19390.58,1745.1522
2026-03-26 16:55:45+00:00,NO,256.054944,233.009999
2026-03-26 16:57:05+00:00,YES,280.0,28.0
2026-03-26 16:57:55+00:00,NO,22052.06,19846.854000000003
2026-03-26 16:58:30+00:00,NO,1.109889,1.009998
2026-03-26 16:59:05+00:00,NO,80.340658,73.109998
2026-03-26 16:59:10+00:00,NO,8.791207,7.999998
2026-03-26 16:59:15+00:00,NO,8.791207,7.999998
2026-03-26 17:00:45+00:00,NO,11.19,10.071
2026-03-26 17:01:45+00:00,NO,111.11,99.999
2026-03-26 17:01:50+00:00,NO,5.0,4.5
2026-03-26 17:01:55+00:00,NO,5.0,4.5
2026-03-26 17:02:05+00:00,NO,4.94,4.3966
2026-03-26 17:02:35+00:00,NO,1000.0,900.0
2026-03-26 17:03:40+00:00,YES,151.0,15.100000000000001
2026-03-26 17:04:00+00:00,YES,1453.71,145.371
2026-03-26 17:04:30+00:00,YES,701.27,70.127
2026-03-26 17:04:50+00:00,YES,100.0,10.0
2026-03-26 17:05:10+00:00,NO,1.0989,0.999999
2026-03-26 17:05:40+00:00,NO,4.94,4.446000000000001
2026-03-26 17:06:05+00:00,NO,398.79,358.911
2026-03-26 17:06:10+00:00,NO,10.0,9.0
2026-03-26 17:06:15+00:00,NO,54.85,49.365
2026-03-26 17:06:55+00:00,YES,100.0,11.0
2026-03-26 17:07:05+00:00,YES,1818.181817,199.99999899999997
2026-03-26 17:07:05+00:00,NO,332.322636,299.999998
2026-03-26 17:09:10+00:00,NO,18.88888,16.999992000000002
2026-03-26 17:09:10+00:00,YES,14.31,1.431
2026-03-26 17:09:25+00:00,YES,23.2,2.32
2026-03-26 17:10:15+00:00,NO,2.197801,1.9999980000000002
2026-03-26 17:10:20+00:00,NO,10.0,9.1
2026-03-26 17:10:25+00:00,YES,23.2,2.32
2026-03-26 17:10:45+00:00,YES,6.66,0.5994
2026-03-26 17:10:55+00:00,YES,99.5,9.950000000000001
2026-03-26 17:11:15+00:00,YES,99.5,9.950000000000001
2026-03-26 17:11:20+00:00,YES,21.75,2.1750000000000003
2026-03-26 17:12:15+00:00,NO,4.0989,3.7299990000000007
2026-03-26 17:15:10+00:00,NO,1.1,0.9900000000000001
2026-03-26 17:15:45+00:00,NO,5.494504,4.999998
2026-03-26 17:16:00+00:00,NO,2.197801,1.9999980000000002
2026-03-26 17:16:45+00:00,YES,131.0,11.79
2026-03-26 17:17:45+00:00,NO,2.197801,1.9999980000000002
2026-03-26 17:18:15+00:00,YES,57.86,5.2074
2026-03-26 17:18:30+00:00,NO,48.010988,43.689999
2026-03-26 17:18:45+00:00,NO,310.0,279.0
2026-03-26 17:19:45+00:00,YES,4.34,0.39059999999999995
2026-03-26 17:20:30+00:00,YES,100.0,10.0
2026-03-26 17:21:00+00:00,YES,10.0,1.0
2026-03-26 17:21:05+00:00,NO,100.0,90.0
2026-03-26 17:21:10+00:00,YES,10.0,1.0
2026-03-26 17:21:15+00:00,NO,2.197801,1.9999980000000002
2026-03-26 17:21:35+00:00,NO,10.0,9.1
2026-03-26 17:22:05+00:00,YES,17.0,1.53
2026-03-26 17:22:35+00:00,NO,109.890108,99.999998
2026-03-26 17:22:35+00:00,YES,7.15,0.6435
2026-03-26 17:22:55+00:00,YES,631.0,63.1
2026-03-26 17:23:10+00:00,NO,169.0,152.1
2026-03-26 17:23:20+00:00,YES,631.0,63.1
2026-03-26 17:23:20+00:00,NO,1.0989,0.999999
2026-03-26 17:23:40+00:00,NO,549.450548,499.999998
2026-03-26 17:24:35+00:00,NO,5.494504,4.999998
2026-03-26 17:24:55+00:00,YES,100.0,10.0
2026-03-26 17:26:50+00:00,NO,1.912086,1.739998
