ts,trade_id,token_id,outcome,buyer_address,seller_address,actor_address,side,price,size,notional
2026-03-26 16:07:53+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,0xd1f4f7c60c680be122bad56ffec5bca046e27f09,,0xd1f4f7c60c680be122bad56ffec5bca046e27f09,buy,0.1099999684666652,27.272726,2.999999
2026-03-26 16:08:39+00:00,,5708561660601459805512817131601230493971589760294984590237789749933853841330,YES,,0x849fae7ddd96bb8bdd323de895590f6be438b79a,0x849fae7ddd96bb8bdd323de895590f6be438b79a,sell,0.1,15.38,1.5380000000000003
2026-03-26 16:09:33+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xd4140031e313f8d850740a80d2ee6653c925a4db,,0xd4140031e313f8d850740a80d2ee6653c925a4db,buy,0.9,1000.0,900.0
2026-03-26 16:09:33+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x9cf6ee7b9c39ee9d8c764431cb05cb8f4787b457,,0x9cf6ee7b9c39ee9d8c764431cb05cb8f4787b457,buy,0.9,2141.5,1927.3500000000001
2026-03-26 16:10:25+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xbe58310c4c9b41015016b2a57d4d4d1ebe6afd77,,0xbe58310c4c9b41015016b2a57d4d4d1ebe6afd77,buy,0.9,111.11111,99.999999
2026-03-26 16:10:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x5338354ec8534ba062f3a64868fde62afd6e4ad6,,0x5338354ec8534ba062f3a64868fde62afd6e4ad6,buy,0.899999441859946,1.433332,1.2899980000000002
2026-03-26 16:10:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x41b19c5a79079181cf68cbb2ad88afb462eb4342,,0x41b19c5a79079181cf68cbb2ad88afb462eb4342,buy,0.899999717646926,2.833332,2.549998
2026-03-26 16:10:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,,0xe046b2aeec3c468cd59f17ef79980c6098ff11eb,0xe046b2aeec3c468cd59f17ef79980c6098ff11eb,sell,0.89,5.81,5.1709
2026-03-26 16:10:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x428208cf4ff7b0aaede6dfd86969cfc823f93455,,0x428208cf4ff7b0aaede6dfd86969cfc823f93455,buy,0.8999992636356273,1.222221,1.099998
2026-03-26 16:10:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xce50d0b41fa9a61cb71bcc967cced83f074f1e2d,,0xce50d0b41fa9a61cb71bcc967cced83f074f1e2d,buy,0.8999992636356273,1.222221,1.099998
2026-03-26 16:10:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xa66d0269e85bf585c9c4aa68b90ecb1bca150859,,0xa66d0269e85bf585c9c4aa68b90ecb1bca150859,buy,0.9,5.0,4.5
2026-03-26 16:10:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0xef9edf2b96c688a69c83c0c84bdb129a6335150c,,0xef9edf2b96c688a69c83c0c84bdb129a6335150c,buy,0.8999995949997772,2.222221,1.9999979999999997
2026-03-26 16:10:51+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x1c42f6e9fc998637835f631607255674b31d213b,,0x1c42f6e9fc998637835f631607255674b31d213b,buy,0.8999992636356273,1.222221,1.099998
2026-03-26 16:10:55+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x6c8c265bcf1eb8a83b255defd1bcfbbfe62247c0,,0x6c8c265bcf1eb8a83b255defd1bcfbbfe62247c0,buy,0.9,6.67,6.003
2026-03-26 16:10:57+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x7ba94a914454cfd5da67f4e7cb123ff8644360ab,,0x7ba94a914454cfd5da67f4e7cb123ff8644360ab,buy,0.899999759999904,3.333332,2.999998
2026-03-26 16:10:57+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x9328c893d455f1b021b2ff3febbb0815b995213b,,0x9328c893d455f1b021b2ff3febbb0815b995213b,buy,0.8999995949997772,2.222221,1.9999979999999997
2026-03-26 16:10:57+00:00,,51938013536033607392847872760095315790110510345353215258271180769721415981927,NO,0x4c66386cae3e999807abcaf59a21916530114d92,,0x4c66386cae3e999807abcaf59a21916530114d92,buy,0.899999759999904,3.333332,2.999998
